-0.17803,120,-0.89118,-0.00424
-0.18096,119,-0.90059,-0.00088
-0.18968,114,-0.9091,-0.00076
-0.1912,113,-0.91643,-0.00085
-0.19432,112,-0.92333,-0.00063
-0.20066,110,-0.92936,-0.00076
-0.20576,109,-0.9343,-0.00022
-0.20897,110,-0.93934,-0.00144
-0.21536,109,-0.94392,-0.00201
-0.21733,109,-0.94754,-0.00148
-0.22027,108,-0.95055,-0.00163
-0.21539,110,-0.95275,-0.00241
-0.21582,110,-0.9549,-0.00029
-0.22048,108,-0.95706,-0.00098
-0.21739,109,-0.95875,-0.00185
-0.20972,112,-0.96047,-0.00108
-0.20571,113,-0.96185,-0.00047
-0.20323,114,-0.96347,-0.00113
-0.20732,112,-0.96518,-0.00036
-0.21634,108,-0.96698,-0.00042
-0.21954,107,-0.96839,-0.00433
-0.22063,107,-0.96973,-0.00911
-0.22165,107,-0.97102,-0.00287
-0.21895,109,-0.97236,-0.00271
-0.21963,109,-0.97383,-0.0032
-0.22326,107,-0.97507,-0.00959
-0.21873,109,-0.97639,-0.00067
-0.21861,109,-0.97764,-0.0022
-0.21806,109,-0.97876,-0.0015
-0.21585,109,-0.97953,-0.00347
-0.21675,108,-0.98022,-0.00012
-0.22333,104,-0.98074,-0.00014
-0.22366,103,-0.98103,-0.00366
-0.22046,104,-0.98126,-0.00034
-0.21972,104,-0.98147,-0.00668
-0.21196,108,-0.98173,-0.00018
-0.21655,106,-0.98192,-0.00347
-0.22173,104,-0.98206,-0.0137
-0.22259,104,-0.98217,-0.01103
-0.22409,104,-0.9823,-0.00686
-0.22658,104,-0.98247,-0.00245
-0.23172,103,-0.98281,-0.00058
-0.23337,103,-0.98315,-0.00056
-0.23626,102,-0.98338,-0.00226
-0.22738,105,-0.98343,-0.00034
-0.22691,104,-0.98342,-0.00114
-0.22179,105,-0.98343,-0.00069
-0.22021,104,-0.98328,-0.0007
-0.21755,103,-0.98301,-0.00086
-0.21635,102,-0.98281,-0.01133
-0.21568,102,-0.98276,-0.01434
-0.21187,104,-0.98267,-0.00292
-0.21679,102,-0.98256,-0.00906
-0.21485,104,-0.98256,-0.00033
-0.21819,104,-0.98274,-0.00285
-0.21958,104,-0.98288,-0.00707
-0.22088,104,-0.98318,-0.00927
-0.21818,106,-0.98357,-0.00321
-0.21895,106,-0.98407,-0.00222
-0.21847,106,-0.98447,-0.00504
-0.21941,105,-0.98471,-0.01535
-0.21709,105,-0.9847,-0.01398
-0.21391,106,-0.98473,-0.00789
-0.2115,107,-0.98465,-0.00017
-0.21168,107,-0.98436,-0.00081
-0.21754,104,-0.98398,-0.00896
-0.21923,103,-0.98365,-0.00794
-0.2168,104,-0.98342,-0.00234
-0.21813,103,-0.98322,-0.00561
-0.21651,103,-0.98311,-0.00414
-0.21545,103,-0.98309,-0.0021
-0.21201,105,-0.98328,-0.0009
-0.21481,104,-0.98344,-0.00218
-0.21899,103,-0.98378,-0.01114
-0.22336,102,-0.98418,-0.00835
-0.22512,102,-0.9844,-0.00261
-0.22844,101,-0.98455,-0.01694
-0.22839,101,-0.98461,-0.01326
-0.22455,102,-0.98448,-0.00213
-0.21572,105,-0.98437,-0.00129
-0.21716,103,-0.98423,-0.00694
-0.2147,103,-0.98397,-0.0105
-0.20885,105,-0.98369,-0.00295
-0.20772,105,-0.98339,-0.00468
-0.20032,109,-0.98321,-0.0002
-0.20526,107,-0.98304,-0.00658
-0.20772,107,-0.98282,-0.00762
-0.21278,106,-0.98274,-0.0078
-0.21141,107,-0.98242,-0.0022
-0.21261,107,-0.98234,-0.00071
-0.2133,106,-0.98232,-0.00632
-0.21135,106,-0.98239,-0.00556
-0.20771,107,-0.98245,-0.00046
-0.21084,105,-0.98253,-0.00468
-0.21004,105,-0.98274,-0.00198
-0.20909,105,-0.98294,-0.00282
-0.20755,106,-0.98312,-0.00132
-0.21056,105,-0.98327,-0.0007
-0.21467,104,-0.98344,-0.00312
-0.21039,107,-0.98348,-0.0017
-0.21614,105,-0.98333,-0.00245
-0.21973,104,-0.9832,-0.00418
-0.2174,105,-0.983,-0.00199
-0.21273,106,-0.9826,-0.0013
-0.20923,106,-0.98236,-0.00259
-0.20578,106,-0.98207,-0.00422
-0.2033,106,-0.98194,-0.00756
-0.20133,106,-0.98169,-0.01054
-0.2012,105,-0.98137,-0.012
-0.20058,105,-0.9811,-0.01209
-0.20012,106,-0.98114,-0.00225
-0.20257,106,-0.98127,-0.00215
-0.20859,104,-0.98131,-0.0018
-0.21355,103,-0.98154,-0.00766
